DecayParticle1_Name DecayParticle1_Boson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_Boson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
b_quark 0 4.18 189.538 -41 101 -155 b_quark 0 4.18 139.454 49 -30 127
W+ 1 80.4 196.151 149 3 -99 W- 1 80.4 168.503 -112 -68 69
tau+ 0 1.78 170.024 154 70 -17 tau- 0 1.78 140.596 -56 -118 52
b_quark 0 4.18 72.8181 24 -22 -65 b_quark 0 4.18 80.3397 -39 70 -4
b_quark 0 4.18 249.262 -233 -88 -9 b_quark 0 4.18 184.346 141 114 -33
b_quark 0 4.18 154.75 76 45 -127 b_quark 0 4.18 210.318 -66 -134 148
W+ 1 80.4 188.616 -166 20 34 W- 1 80.4 115.37 73 29 -26
W+ 1 80.4 208.514 -143 -122 -41 W- 1 80.4 110.06 55 40 32
b_quark 0 4.18 146.186 10 -33 142 b_quark 0 4.18 111.241 -33 78 -72
W+ 1 80.4 204.042 122 -94 -107 W- 1 80.4 125.87 -45 45 73
b_quark 0 4.18 247.167 179 -77 -152 b_quark 0 4.18 155.504 -92 60 110
tau+ 0 1.78 216.105 -200 -47 -67 tau- 0 1.78 180.71 144 46 99
b_quark 0 4.18 118.129 -38 93 -62 b_quark 0 4.18 85.6707 76 -39 -5
W+ 1 80.4 135.537 89 -48 41 W- 1 80.4 177.477 -51 148 -23
b_quark 0 4.18 109.153 -4 -91 60 b_quark 0 4.18 180.248 52 142 -98
W+ 1 80.4 99.0866 -52 -11 -23 W- 1 80.4 132.79 98 -11 38
W+ 1 80.4 118.331 -59 59 24 W- 1 80.4 161.608 22 -113 -80
b_quark 0 4.18 284.124 -191 178 112 b_quark 0 4.18 187.77 150 -112 -14
b_quark 0 4.18 140.931 -12 -140 -10 b_quark 0 4.18 109.533 30 102 26
b_quark 0 4.18 104.826 5 -89 55 b_quark 0 4.18 127.99 -70 90 -58
W+ 1 80.4 199.603 -156 4 95 W- 1 80.4 181.103 82 17 -139
W+ 1 80.4 170.421 -123 -59 63 W- 1 80.4 148.712 79 -1 -97
b_quark 0 4.18 236.819 163 -164 -51 b_quark 0 4.18 154.607 -87 126 21
b_quark 0 4.18 171.206 -99 -113 -82 b_quark 0 4.18 134.27 111 73 19
b_quark 0 4.18 192.027 147 112 52 b_quark 0 4.18 205.94 -144 -133 -63
b_quark 0 4.18 175.107 98 -121 80 b_quark 0 4.18 220.262 -127 140 -113
W+ 1 80.4 235.109 -154 114 -110 W- 1 80.4 135.887 78 -21 74
b_quark 0 4.18 120.779 20 63 -101 b_quark 0 4.18 146.074 64 -18 130
W+ 1 80.4 142.215 -54 -21 102 W- 1 80.4 166.92 98 65 -87
b_quark 0 4.18 176.135 66 37 159 b_quark 0 4.18 193.689 -123 -60 -137
tau+ 0 1.78 130.124 -98 -59 -62 tau- 0 1.78 122.402 67 101 17
b_quark 0 4.18 200.249 -51 160 109 b_quark 0 4.18 139.278 25 -66 -120
W+ 1 80.4 249.548 120 -159 -127 W- 1 80.4 177.519 -88 112 69
b_quark 0 4.18 87.152 -69 -39 -36 b_quark 0 4.18 166.747 129 11 105
b_quark 0 4.18 195.603 -7 63 -185 b_quark 0 4.18 216.096 -92 -146 130
Z 1 91.2 127.697 -47 44 62 Z 1 91.2 156.976 120 -30 32
b_quark 0 4.18 155.456 -44 -78 127 b_quark 0 4.18 90.6392 26 31 -81
b_quark 0 4.18 270.253 -245 95 -63 b_quark 0 4.18 150.992 150 -5 16
W+ 1 80.4 170.942 136 -65 6 W- 1 80.4 127.13 -93 32 5
b_quark 0 4.18 315.199 161 176 206 b_quark 0 4.18 208.395 -137 -111 -111
W+ 1 80.4 200.295 17 167 74 W- 1 80.4 209.624 53 -125 -138
b_quark 0 4.18 99.4358 29 2 -95 b_quark 0 4.18 165.053 35 64 148
b_quark 0 4.18 237.326 119 23 204 b_quark 0 4.18 208.016 -128 -90 -137
b_quark 0 4.18 214.314 162 87 110 b_quark 0 4.18 155.671 -124 -58 -74
b_quark 0 4.18 247.329 -181 -13 -168 b_quark 0 4.18 164.568 118 71 90
W+ 1 80.4 191.272 -90 114 95 W- 1 80.4 119.097 48 -54 -50
b_quark 0 4.18 122.002 37 27 113 b_quark 0 4.18 137.98 -6 -36 -133
b_quark 0 4.18 225.839 -39 64 213 b_quark 0 4.18 166.915 95 -7 -137
W+ 1 80.4 312.761 -231 -55 -187 W- 1 80.4 205.461 138 59 115
b_quark 0 4.18 223.675 13 -70 -212 b_quark 0 4.18 193.65 85 123 123
b_quark 0 4.18 120.484 27 117 9 b_quark 0 4.18 146.395 -121 -38 -73
b_quark 0 4.18 134.188 -33 -78 -104 b_quark 0 4.18 174.684 -32 87 148
b_quark 0 4.18 243.948 -82 -200 -113 b_quark 0 4.18 147.24 2 133 63
b_quark 0 4.18 169.869 154 -69 -19 b_quark 0 4.18 196.333 -116 143 68
b_quark 0 4.18 235.878 39 -108 206 b_quark 0 4.18 224.817 -120 149 -118
b_quark 0 4.18 96.8838 -23 82 -46 b_quark 0 4.18 112.993 -25 -70 85
tau+ 0 1.78 233.015 -110 73 192 tau- 0 1.78 228.511 142 -145 -105
W+ 1 80.4 257.065 233 0 73 W- 1 80.4 164.311 -138 31 -23
b_quark 0 4.18 187.9 132 -96 93 b_quark 0 4.18 105.851 -57 63 -63
W+ 1 80.4 235.527 -99 138 -142 W- 1 80.4 129.72 29 -69 69
b_quark 0 4.18 131.33 -27 -126 -25 b_quark 0 4.18 161.652 127 97 -24
b_quark 0 4.18 152.796 82 126 -27 b_quark 0 4.18 172.935 -91 -142 38
W+ 1 80.4 206.35 -174 52 56 W- 1 80.4 228.066 91 -135 -138
b_quark 0 4.18 221.573 -90 129 156 b_quark 0 4.18 129.944 44 -44 -114
W+ 1 80.4 164.812 -9 143 -13 W- 1 80.4 186.51 -59 -125 96
b_quark 0 4.18 137.355 82 -70 -85 b_quark 0 4.18 92.4471 -34 83 22
b_quark 0 4.18 88.0424 -13 29 82 b_quark 0 4.18 99.9724 -70 -6 -71
b_quark 0 4.18 143.243 86 72 89 b_quark 0 4.18 186.752 5 -147 -115
b_quark 0 4.18 190.225 -62 160 -82 b_quark 0 4.18 190.466 132 -130 44
tau+ 0 1.78 301.478 -147 146 219 tau- 0 1.78 200.654 99 -113 -133
b_quark 0 4.18 108.146 -89 -51 34 b_quark 0 4.18 24.5657 19 -12 9
Z 1 91.2 257.475 -156 -86 162 Z 1 91.2 185.522 116 18 -111
b_quark 0 4.18 110.885 107 27 -10 b_quark 0 4.18 157.119 -131 -82 28
W+ 1 80.4 304.198 -164 226 90 W- 1 80.4 204.091 118 -129 -68
b_quark 0 4.18 172.1 118 -74 -101 b_quark 0 4.18 142.56 -117 29 76
b_quark 0 4.18 132.674 7 -120 56 b_quark 0 4.18 157.897 -52 149 -3
b_quark 0 4.18 109.19 15 84 -68 b_quark 0 4.18 155.735 54 -118 86
W+ 1 80.4 240.286 -204 -84 -51 W- 1 80.4 167.027 144 23 -13
b_quark 0 4.18 121.62 93 77 14 b_quark 0 4.18 102.482 -47 -76 -50
b_quark 0 4.18 120.343 -101 -58 30 b_quark 0 4.18 157.91 131 86 19
b_quark 0 4.18 140.415 -77 9 117 b_quark 0 4.18 183.792 109 -109 -100
b_quark 0 4.18 82.3376 4 61 55 b_quark 0 4.18 121.715 -18 -117 -28
b_quark 0 4.18 231.943 94 -112 -180 b_quark 0 4.18 140.568 -57 83 98
W+ 1 80.4 216.292 -3 -153 -130 W- 1 80.4 165.621 -18 131 59
b_quark 0 4.18 58.3393 43 4 -39 b_quark 0 4.18 78.851 -60 -10 -50
b_quark 0 4.18 238.528 -198 -95 -93 b_quark 0 4.18 141.663 131 9 53
b_quark 0 4.18 191.947 13 111 -156 b_quark 0 4.18 185.598 -92 -66 147
b_quark 0 4.18 169.586 102 -107 -83 b_quark 0 4.18 236.287 -139 147 122
b_quark 0 4.18 68.077 28 -53 32 b_quark 0 4.18 54.8951 -54 4 -8
Z 1 91.2 153.263 -96 40 66 Z 1 91.2 140.55 72 -18 -77
b_quark 0 4.18 140.241 -44 67 115 b_quark 0 4.18 73.746 -20 11 -70
b_quark 0 4.18 144.977 -21 -124 -72 b_quark 0 4.18 162.18 58 139 60
b_quark 0 4.18 178.725 175 34 12 b_quark 0 4.18 120.177 -85 60 60
b_quark 0 4.18 134.705 64 -24 -116 b_quark 0 4.18 158.677 -70 95 106
b_quark 0 4.18 76.9901 65 -23 -34 b_quark 0 4.18 129.288 -101 -49 64
b_quark 0 4.18 242.577 -181 -159 -28 b_quark 0 4.18 145.146 87 116 5
tau+ 0 1.78 134.812 -17 -119 -61 tau- 0 1.78 86.1694 -47 62 37
b_quark 0 4.18 102.662 87 12 -53 b_quark 0 4.18 79.8215 -13 77 -16
b_quark 0 4.18 108.178 -89 20 58 b_quark 0 4.18 24.2378 16 17 -5
b_quark 0 4.18 180.539 -152 97 -8 b_quark 0 4.18 161.859 119 -106 28
tau+ 0 1.78 183.478 -84 -134 -93 tau- 0 1.78 150.967 -12 150 12
W+ 1 80.4 243.678 97 159 -135 W- 1 80.4 211.176 -111 -93 131
b_quark 0 4.18 136.739 132 34 10 b_quark 0 4.18 122.664 -34 -108 -47
b_quark 0 4.18 177.703 -150 -81 -50 b_quark 0 4.18 60.5927 54 -3 27
W+ 1 80.4 168.054 -75 67 108 W- 1 80.4 203.613 131 -123 -52
b_quark 0 4.18 235.99 -187 143 -16 b_quark 0 4.18 175.19 100 -143 -15
b_quark 0 4.18 236.465 -39 44 -229 b_quark 0 4.18 214.295 130 -86 147
Z 1 91.2 283.497 -2 135 232 Z 1 91.2 204.146 -2 -123 -135
b_quark 0 4.18 229.727 -18 -52 223 b_quark 0 4.18 155.613 -70 23 -137
b_quark 0 4.18 71.4036 9 -50 -50 b_quark 0 4.18 84.5664 77 -23 -26
tau+ 0 1.78 192.835 -101 134 95 tau- 0 1.78 63.3417 52 -36 -3
b_quark 0 4.18 145.201 5 4 -145 b_quark 0 4.18 89.0139 -15 25 84
b_quark 0 4.18 179.395 145 -48 94 b_quark 0 4.18 167.593 -67 134 -75
b_quark 0 4.18 126.283 93 -15 -84 b_quark 0 4.18 112.23 -32 23 105
Z 1 91.2 276.726 240 -74 -72 Z 1 91.2 169.751 -141 19 -16
b_quark 0 4.18 187.367 -108 -148 39 b_quark 0 4.18 171.594 115 89 -91
W+ 1 80.4 235.16 4 102 196 W- 1 80.4 210.188 -73 -119 -135
W+ 1 80.4 206.674 -45 176 57 W- 1 80.4 172.453 -26 -126 -82
b_quark 0 4.18 184.834 -156 -99 -3 b_quark 0 4.18 140.305 136 34 -4
b_quark 0 4.18 252.661 -210 126 -62 b_quark 0 4.18 186.554 134 -98 85
b_quark 0 4.18 54.977 -43 30 -16 b_quark 0 4.18 167.686 124 -103 -46
W+ 1 80.4 188.661 79 62 138 W- 1 80.4 151.001 -66 10 -109
b_quark 0 4.18 293.41 212 -18 -202 b_quark 0 4.18 184.823 -121 -51 130
b_quark 0 4.18 156.162 -128 -8 -89 b_quark 0 4.18 187.049 115 57 136
b_quark 0 4.18 148.143 -148 -4 -3 b_quark 0 4.18 160.479 146 46 48
W+ 1 80.4 258.815 134 -78 -191 W- 1 80.4 201.537 -123 68 120
W+ 1 80.4 219.905 162 97 -79 W- 1 80.4 194.294 -102 -131 61
b_quark 0 4.18 251.186 41 -220 114 b_quark 0 4.18 216.431 -132 140 -99
b_quark 0 4.18 251.856 206 -23 143 b_quark 0 4.18 169.548 -135 30 -98
W+ 1 80.4 228.896 -15 70 -202 W- 1 80.4 147.913 -31 -23 118
b_quark 0 4.18 174.093 -1 -119 127 b_quark 0 4.18 129.192 65 108 -28
b_quark 0 4.18 124.24 91 84 9 b_quark 0 4.18 193.645 -118 -111 -106
b_quark 0 4.18 72.5429 27 -54 40 b_quark 0 4.18 92.8142 33 82 -28
b_quark 0 4.18 151.127 -5 141 -54 b_quark 0 4.18 85.4779 73 -42 -14
b_quark 0 4.18 198.41 12 -1 -198 b_quark 0 4.18 131.463 -14 -13 130
b_quark 0 4.18 229.197 103 172 111 b_quark 0 4.18 214.214 -101 -137 -130
b_quark 0 4.18 261.449 195 27 172 b_quark 0 4.18 204.483 -114 -120 -120
W+ 1 80.4 172.062 18 4 -151 W- 1 80.4 195.954 -102 -83 121
W+ 1 80.4 109.846 48 -57 7 W- 1 80.4 170.81 -102 62 -92
W+ 1 80.4 213.263 -179 -80 24 W- 1 80.4 174.669 116 85 -58
b_quark 0 4.18 262.281 203 -131 -102 b_quark 0 4.18 213.643 -120 145 101
W+ 1 80.4 244.041 -172 -132 -78 W- 1 80.4 159.994 107 86 -17
b_quark 0 4.18 120.181 12 11 119 b_quark 0 4.18 75.2228 67 24 -24
b_quark 0 4.18 167.963 -73 -31 148 b_quark 0 4.18 118.231 6 -1 -118
b_quark 0 4.18 206.622 119 25 -167 b_quark 0 4.18 180.473 -44 -116 131
W+ 1 80.4 107.15 38 18 -57 W- 1 80.4 150.23 -60 -48 101
b_quark 0 4.18 197.68 -92 -136 110 b_quark 0 4.18 176.563 94 100 -111
b_quark 0 4.18 144.715 -58 -20 131 b_quark 0 4.18 53.061 18 -25 -43
b_quark 0 4.18 283.701 -88 119 242 b_quark 0 4.18 211.668 145 -55 -144
b_quark 0 4.18 166.804 -89 2 141 b_quark 0 4.18 98.5062 25 -15 -94
W+ 1 80.4 171.896 142 -34 -42 W- 1 80.4 200.225 -77 111 124
b_quark 0 4.18 116.045 104 -28 -43 b_quark 0 4.18 136.724 -26 -24 132
b_quark 0 4.18 185.964 120 -134 -47 b_quark 0 4.18 163.751 -114 115 24
b_quark 0 4.18 138.414 -72 114 31 b_quark 0 4.18 137.94 -20 -121 -63
tau+ 0 1.78 40.3506 10 -9 38 tau- 0 1.78 136.833 -64 68 -100
b_quark 0 4.18 174.42 14 103 140 b_quark 0 4.18 147.44 -90 -25 -114
b_quark 0 4.18 102.433 3 65 79 b_quark 0 4.18 32.3028 -20 -25 1
b_quark 0 4.18 165.011 99 57 119 b_quark 0 4.18 121.41 -33 -55 -103
b_quark 0 4.18 71.4106 31 20 -61 b_quark 0 4.18 161.912 -127 50 87
W+ 1 80.4 183.59 -162 -6 -31 W- 1 80.4 170.699 95 68 95
b_quark 0 4.18 177.706 -7 123 -128 b_quark 0 4.18 123.853 52 -63 93
b_quark 0 4.18 173.331 112 -29 -129 b_quark 0 4.18 94.8076 -81 -3 49
b_quark 0 4.18 325.95 215 140 201 b_quark 0 4.18 210.84 -146 -68 -136
b_quark 0 4.18 154.624 41 87 121 b_quark 0 4.18 120.027 -4 -63 -102
W+ 1 80.4 219.286 -95 -166 -71 W- 1 80.4 191.346 22 143 96
b_quark 0 4.18 140.735 -13 96 -102 b_quark 0 4.18 141.998 97 -96 39
b_quark 0 4.18 180.761 103 12 148 b_quark 0 4.18 177.309 -139 0 -110
W+ 1 80.4 179.795 57 -137 62 W- 1 80.4 179.104 -61 143 -38
b_quark 0 4.18 259.472 122 -70 -218 b_quark 0 4.18 153.839 -74 22 133
b_quark 0 4.18 244.635 -232 -73 -26 b_quark 0 4.18 165.839 144 70 43
b_quark 0 4.18 224.128 104 -42 194 b_quark 0 4.18 138.089 -49 3 -129
b_quark 0 4.18 242.74 230 -26 73 b_quark 0 4.18 152.724 -133 -73 -17
b_quark 0 4.18 170.069 -9 -165 40 b_quark 0 4.18 136.976 6 90 -103
b_quark 0 4.18 280.712 203 193 -18 b_quark 0 4.18 194.48 -130 -123 76
b_quark 0 4.18 195.999 -129 -21 146 b_quark 0 4.18 106.768 67 2 -83
tau+ 0 1.78 195.697 21 133 -142 tau- 0 1.78 110.223 63 -71 56
b_quark 0 4.18 167.055 -64 -113 -105 b_quark 0 4.18 46.0812 -16 35 25
b_quark 0 4.18 109.556 -2 -10 -109 b_quark 0 4.18 46.0377 6 -29 35
b_quark 0 4.18 181.583 11 175 -47 b_quark 0 4.18 185.271 24 -114 144
b_quark 0 4.18 213.795 -131 -141 93 b_quark 0 4.18 156.066 97 107 -59
b_quark 0 4.18 73.5355 53 -9 50 b_quark 0 4.18 162.291 -136 88 -9
b_quark 0 4.18 95.7469 94 17 5 b_quark 0 4.18 101.175 -65 -63 45
b_quark 0 4.18 196.07 -47 -156 -109 b_quark 0 4.18 159.397 -37 114 105
b_quark 0 4.18 190.86 85 -153 -76 b_quark 0 4.18 123.201 -96 76 -13
b_quark 0 4.18 183.563 157 95 2 b_quark 0 4.18 171.987 -145 -91 16
b_quark 0 4.18 177.94 134 0 117 b_quark 0 4.18 100.436 -45 -34 -83
W+ 1 80.4 164.028 -9 122 -74 W- 1 80.4 197.884 77 -122 109
b_quark 0 4.18 201.103 160 -40 -115 b_quark 0 4.18 197.44 -135 24 142
W+ 1 80.4 108.753 51 49 19 W- 1 80.4 173.468 -75 -131 29
b_quark 0 4.18 268.318 -27 -232 132 b_quark 0 4.18 196.088 20 148 -127
b_quark 0 4.18 95.3545 41 85 -13 b_quark 0 4.18 56.0221 40 -36 15
b_quark 0 4.18 207.573 147 78 124 b_quark 0 4.18 162.153 -56 -96 -118
b_quark 0 4.18 189.007 101 -49 -152 b_quark 0 4.18 125.246 -97 -22 76
b_quark 0 4.18 162.504 162 11 -5 b_quark 0 4.18 113.558 -102 -43 25
b_quark 0 4.18 81.673 48 43 -50 b_quark 0 4.18 42.7957 38 -9 17
b_quark 0 4.18 228.122 135 -79 -166 b_quark 0 4.18 158.441 -61 -7 146
b_quark 0 4.18 125.632 42 -111 41 b_quark 0 4.18 168.779 -102 41 -128
W+ 1 80.4 115.383 47 -52 44 W- 1 80.4 158.007 -102 -23 -87
b_quark 0 4.18 234.475 -156 -105 140 b_quark 0 4.18 146.446 71 62 -112
W+ 1 80.4 263.002 -169 -17 -184 W- 1 80.4 194.343 140 -16 107
b_quark 0 4.18 112.354 34 -1 107 b_quark 0 4.18 102.638 26 60 -79
b_quark 0 4.18 223.956 -3 -129 183 b_quark 0 4.18 157.805 40 73 -134
W+ 1 80.4 219.878 -165 4 -121 W- 1 80.4 203.247 100 83 134
b_quark 0 4.18 147.008 140 -25 37 b_quark 0 4.18 166.885 -140 77 48
b_quark 0 4.18 218.965 22 -110 -188 b_quark 0 4.18 187.25 -20 126 137
W+ 1 80.4 227.309 -193 84 30 W- 1 80.4 180.414 140 -73 34
tau+ 0 1.78 185.618 -95 99 -125 tau- 0 1.78 171.514 -5 -83 150
W+ 1 80.4 159.515 136 22 1 W- 1 80.4 125.619 -72 64 -6
b_quark 0 4.18 139.469 -97 -100 5 b_quark 0 4.18 169.857 147 85 0
b_quark 0 4.18 340.296 -144 -218 -218 b_quark 0 4.18 198.249 44 130 143
W+ 1 80.4 288.725 113 120 223 W- 1 80.4 237.192 -146 -88 -144
W+ 1 80.4 142.222 -71 -91 21 W- 1 80.4 122.871 40 43 -72
b_quark 0 4.18 147.443 -144 -5 31 b_quark 0 4.18 76.7299 55 53 -6
W+ 1 80.4 116.47 -56 -62 -11 W- 1 80.4 128.818 23 24 95
W+ 1 80.4 161.435 -42 -133 -12 W- 1 80.4 101.927 39 48 10
b_quark 0 4.18 153.458 14 -110 106 b_quark 0 4.18 185.942 -43 142 -112
W+ 1 80.4 154.412 113 11 -67 W- 1 80.4 136.137 -52 -38 89
b_quark 0 4.18 171.404 108 133 3 b_quark 0 4.18 183.669 -146 -49 -100
b_quark 0 4.18 244.306 -204 -96 94 b_quark 0 4.18 195.403 145 42 -124
W+ 1 80.4 237.395 104 176 -90 W- 1 80.4 179.845 -30 -124 98
b_quark 0 4.18 215.459 -156 62 -135 b_quark 0 4.18 127.963 87 -78 52
b_quark 0 4.18 187.977 67 -173 30 b_quark 0 4.18 146.402 -54 136 -2
b_quark 0 4.18 210.332 87 -173 82 b_quark 0 4.18 203.149 -126 76 -140
tau+ 0 1.78 113.799 -49 39 -95 tau- 0 1.78 29.6845 -29 1 6
b_quark 0 4.18 256.586 -223 123 31 b_quark 0 4.18 162.06 139 -83 -6
Z 1 91.2 201.748 -88 -71 -140 Z 1 91.2 187.929 4 110 122
b_quark 0 4.18 281.882 200 -196 -32 b_quark 0 4.18 244.627 -142 150 131
W+ 1 80.4 283.12 136 21 -234 W- 1 80.4 218.296 -105 -100 142
b_quark 0 4.18 122.957 76 93 26 b_quark 0 4.18 200.269 -65 -144 -123
W+ 1 80.4 129.252 -47 -73 52 W- 1 80.4 135.271 48 97 11
W+ 1 80.4 114.299 80 -2 14 W- 1 80.4 193.109 -135 49 -101
b_quark 0 4.18 288.802 12 218 189 b_quark 0 4.18 203.606 -59 -146 -129
b_quark 0 4.18 145.954 73 -116 50 b_quark 0 4.18 103.283 4 103 5
b_quark 0 4.18 184.866 -10 -97 -157 b_quark 0 4.18 191.636 -85 111 131
b_quark 0 4.18 194.837 -34 -38 188 b_quark 0 4.18 128.474 70 62 -88
b_quark 0 4.18 152.402 -130 78 15 b_quark 0 4.18 128.213 106 -44 57
b_quark 0 4.18 105.468 -59 -20 85 b_quark 0 4.18 99.5011 45 -17 -87
b_quark 0 4.18 104.074 -103 13 -6 b_quark 0 4.18 135.836 49 87 92
W+ 1 80.4 136.639 99 -17 46 W- 1 80.4 145.62 -70 -25 -96
b_quark 0 4.18 240.097 -78 164 157 b_quark 0 4.18 125.946 14 -68 -105
Z 1 91.2 221.329 186 77 -12 Z 1 91.2 190.542 -132 -34 97
b_quark 0 4.18 215.719 71 -160 -126 b_quark 0 4.18 105.539 -26 61 82
b_quark 0 4.18 279.16 -155 8 -232 b_quark 0 4.18 181.319 103 35 145
W+ 1 80.4 195.054 37 63 -162 W- 1 80.4 127.942 -13 30 94
W+ 1 80.4 303.808 -207 205 -31 W- 1 80.4 201.222 119 -131 -52
tau+ 0 1.78 239.619 38 107 -211 tau- 0 1.78 143.287 -20 -52 132
b_quark 0 4.18 165.646 -156 -22 51 b_quark 0 4.18 153.93 126 76 -45
b_quark 0 4.18 228.63 137 38 179 b_quark 0 4.18 137.373 -93 59 -82
b_quark 0 4.18 264.814 182 84 -173 b_quark 0 4.18 186.543 -112 -6 149
b_quark 0 4.18 60.8972 35 -45 21 b_quark 0 4.18 84.5368 -57 42 46
b_quark 0 4.18 86.8762 -35 -68 -41 b_quark 0 4.18 122.872 70 -24 98
b_quark 0 4.18 104.802 -34 3 99 b_quark 0 4.18 88.7382 -4 -79 -40
W+ 1 80.4 230.124 160 27 142 W- 1 80.4 218.491 -113 -104 -133
b_quark 0 4.18 272.563 -28 -183 -200 b_quark 0 4.18 173.443 -50 131 102
b_quark 0 4.18 158.22 14 132 86 b_quark 0 4.18 153.735 60 -136 -39
W+ 1 80.4 196.566 -13 -161 78 W- 1 80.4 164.806 -40 124 -61
b_quark 0 4.18 235.205 154 58 -168 b_quark 0 4.18 178.985 -88 -93 125
tau+ 0 1.78 232.011 -88 209 49 tau- 0 1.78 145.716 67 -129 -10
b_quark 0 4.18 181.451 109 145 -1 b_quark 0 4.18 171.774 -142 -93 -26
b_quark 0 4.18 163.182 39 -147 -59 b_quark 0 4.18 115.907 51 96 -40
b_quark 0 4.18 100.367 -94 32 -14 b_quark 0 4.18 68.6256 20 14 64
Z 1 91.2 257.151 190 -125 78 Z 1 91.2 168.687 -116 79 21
b_quark 0 4.18 81.7709 52 -62 11 b_quark 0 4.18 83.3035 -64 15 51
b_quark 0 4.18 119.981 29 -116 9 b_quark 0 4.18 156.88 -101 112 43
b_quark 0 4.18 180.376 171 -54 -19 b_quark 0 4.18 128.54 -104 8 -75
b_quark 0 4.18 203.528 182 89 19 b_quark 0 4.18 180.11 -146 -105 -9
b_quark 0 4.18 113.769 -99 -25 -50 b_quark 0 4.18 76.6908 72 -14 22
b_quark 0 4.18 97.3574 -81 14 -52 b_quark 0 4.18 116.514 54 -99 -29
tau+ 0 1.78 251.319 233 70 -63 tau- 0 1.78 146.025 -136 -50 18
W+ 1 80.4 150.928 23 -69 -105 W- 1 80.4 148.088 -93 24 79
b_quark 0 4.18 233.037 -12 -224 -63 b_quark 0 4.18 148.336 -1 148 -9
b_quark 0 4.18 84.0326 22 44 68 b_quark 0 4.18 185.519 -120 -124 -68
W+ 1 80.4 230.291 135 92 -141 W- 1 80.4 186.1 -70 -65 138
W+ 1 80.4 172.027 -148 21 28 W- 1 80.4 181.169 130 -97 -7
b_quark 0 4.18 232.453 203 82 -78 b_quark 0 4.18 168.933 -133 -104 -4
b_quark 0 4.18 88.0708 -53 -69 13 b_quark 0 4.18 94.4641 84 35 -25
W+ 1 80.4 148.021 123 11 -14 W- 1 80.4 112.242 -77 -3 -14
Z 1 91.2 257.776 159 75 165 Z 1 91.2 174.904 -124 -3 -83
b_quark 0 4.18 122.284 -44 -114 -2 b_quark 0 4.18 199.546 119 142 -74
W+ 1 80.4 155.088 80 102 28 W- 1 80.4 227.599 -144 -101 -120
b_quark 0 4.18 126.97 -80 98 10 b_quark 0 4.18 108.773 19 2 -107
W+ 1 80.4 176.616 -16 152 -37 W- 1 80.4 156.525 80 -106 -20
b_quark 0 4.18 190.996 -163 -97 22 b_quark 0 4.18 185.296 136 61 -110
b_quark 0 4.18 97.2958 -74 -47 -42 b_quark 0 4.18 154.514 144 39 40
b_quark 0 4.18 65.4788 51 -15 38 b_quark 0 4.18 58.8088 34 38 -29
b_quark 0 4.18 177.343 -112 -85 -108 b_quark 0 4.18 135.505 42 94 88
b_quark 0 4.18 216.544 107 -183 44 b_quark 0 4.18 195.948 -132 125 -73
b_quark 0 4.18 214.603 82 -63 -188 b_quark 0 4.18 219.901 -133 109 137
b_quark 0 4.18 126.915 -113 -36 45 b_quark 0 4.18 198.74 118 110 -116
b_quark 0 4.18 126.323 28 -90 84 b_quark 0 4.18 65.8215 9 3 -65
W+ 1 80.4 233.879 169 93 -105 W- 1 80.4 204.419 -149 -81 81
b_quark 0 4.18 122.664 -4 118 33 b_quark 0 4.18 137.428 -47 -126 28
b_quark 0 4.18 203.959 77 -162 97 b_quark 0 4.18 212.649 -117 128 -123
b_quark 0 4.18 202.318 -91 105 -147 b_quark 0 4.18 194.668 133 -50 133
b_quark 0 4.18 240.43 148 157 -106 b_quark 0 4.18 105.752 -73 -61 46
b_quark 0 4.18 197.582 139 140 10 b_quark 0 4.18 119.781 -95 -51 52
b_quark 0 4.18 92.366 8 -35 -85 b_quark 0 4.18 110.51 31 -25 103
b_quark 0 4.18 232.285 183 1 -143 b_quark 0 4.18 174.704 -146 -38 88
W+ 1 80.4 233.399 15 131 175 W- 1 80.4 215.314 74 -124 -138
W+ 1 80.4 200.383 142 -23 -114 W- 1 80.4 211.415 -134 -70 124
W+ 1 80.4 193.192 129 117 -23 W- 1 80.4 99.5498 -54 -23 -1
b_quark 0 4.18 246.6 -137 123 -164 b_quark 0 4.18 138.233 69 -61 103
W+ 1 80.4 345.093 -244 140 183 W- 1 80.4 219.739 144 -42 -139
W+ 1 80.4 88.8491 -15 34 7 W- 1 80.4 97.6942 16 18 50
b_quark 0 4.18 196.35 30 -144 130 b_quark 0 4.18 136.757 0 53 -126
b_quark 0 4.18 102.262 -90 48 6 b_quark 0 4.18 110.551 102 -30 30
b_quark 0 4.18 202.73 95 -179 -4 b_quark 0 4.18 183.04 -71 142 -91
tau+ 0 1.78 121.726 -90 -75 33 tau- 0 1.78 86.001 75 38 -18
W+ 1 80.4 212.655 74 -129 -129 W- 1 80.4 185.734 -50 123 102
b_quark 0 4.18 122.239 64 -35 -98 b_quark 0 4.18 131.238 -131 -6 3
W+ 1 80.4 174.023 142 -50 34 W- 1 80.4 175.508 -67 139 23
b_quark 0 4.18 199.668 -105 40 -165 b_quark 0 4.18 136.16 43 -17 128
